date,campaign_id,channel,sessions,orders,revenue,spend,impressions,clicks,CPC,CTR,CVR,ROAS,CAC
2025-07-04,C001,search,140,3,28706.370000000003,26312.21,100619,2173,12.108702254947078,0.021596318786710263,0.02142857142857143,1.0909904565218962,8770.736666666666
2025-07-04,C002,search,140,4,17676.27,21647.84,87070,3103,6.976422816629069,0.03563799241989204,0.02857142857142857,0.8165373543041707,5411.96
2025-07-04,C003,search,140,9,55752.119999999995,22354.06,92590,1931,11.57641636457794,0.020855383950750622,0.06428571428571428,2.4940489557601615,2483.7844444444445
2025-07-04,C004,search,140,7,33388.35,26270.94,112017,3485,7.53828981348637,0.031111349170215234,0.05,1.2709233091773648,3752.9914285714285
2025-07-04,C005,search,140,3,25908.7,22875.24,88620,2460,9.29887804878049,0.027758970886932972,0.02142857142857143,1.1326088819177416,7625.080000000001
2025-07-04,C006,search,140,5,23315.24,27508.7,129011,2721,10.109775817714077,0.021091224779282387,0.03571428571428571,0.8475587723156675,5501.74
2025-07-04,C007,search,140,7,41437.36,21624.88,98425,3779,5.722381582429215,0.038394716789433576,0.05,1.916189130298064,3089.2685714285717
2025-07-04,C008,search,140,5,17777.77,19663.84,75399,2210,8.89766515837104,0.029310733564105625,0.03571428571428571,0.9040843497506083,3932.768
2025-07-04,C009,paid_social,140,5,20696.51,22482.26,101822,1725,13.03319420289855,0.016941328985877316,0.03571428571428571,0.920570707749132,4496.451999999999
2025-07-04,C010,paid_social,140,2,10171.710000000001,25994.98,156358,2858,9.09551434569629,0.01827856585528083,0.014285714285714285,0.3912951654511756,12997.49
2025-07-04,C011,paid_social,140,5,22293.32,22820.7,128630,2162,10.555365402405181,0.016807898623960194,0.03571428571428571,0.976890279439281,4564.14
2025-07-04,C012,paid_social,108,4,21633.63,23728.79,121898,1271,18.669386309992134,0.010426750233802032,0.037037037037037035,0.9117038837631417,5932.1975
2025-07-04,C013,paid_social,140,6,43604.15,15889.01,92102,1970,8.06548730964467,0.02138932922194958,0.04285714285714286,2.744296214805076,2648.1683333333335
2025-07-04,C014,paid_social,88,2,9046.25,16972.71,84148,1256,13.513304140127389,0.014926082616342635,0.022727272727272728,0.5329879553707099,8486.355
2025-07-04,C015,paid_social,140,3,10177.949999999999,19634.72,116525,2920,6.724219178082192,0.025059000214546236,0.02142857142857143,0.5183649168411874,6544.906666666667
2025-07-04,C016,paid_social,95,3,14822.76,10409.44,54750,1039,10.018710298363812,0.01897716894977169,0.031578947368421054,1.4239728554081679,3469.8133333333335
2025-07-04,C017,email,28,0,0.0,2955.66,66466,308,9.5962987012987,0.004633948184033942,0.0,0.0,0.0
2025-07-04,C018,email,108,10,59881.42,1252.44,64966,1158,1.0815544041450778,0.01782470830896161,0.09259259259259259,47.811807352048795,125.244
2025-07-04,C019,email,63,2,6323.780000000001,2521.59,65708,537,4.695698324022347,0.008172520849820418,0.031746031746031744,2.507854171375997,1260.795
2025-07-04,C020,email,70,1,662.65,2449.63,71641,1060,2.3109716981132076,0.01479599670579696,0.014285714285714285,0.27051024032200777,2449.63
2025-07-04,C021,email,13,0,0.0,2999.39,34106,115,26.081652173913042,0.0033718407318360406,0.0,0.0,0.0
2025-07-04,C022,email,37,1,7863.02,1676.67,36910,347,4.831902017291067,0.009401246274722297,0.02702702702702703,4.689664632873494,1676.67
2025-07-04,C023,email,93,6,48517.43,3151.43,63606,869,3.626501726121979,0.013662233122661384,0.06451612903225806,15.395369721047272,525.2383333333333
2025-07-04,C024,email,6,0,0.0,2559.51,21483,90,28.439000000000004,0.0041893590280687055,0.0,0.0,0.0
2025-07-04,C025,referral,12,2,15680.53,2108.72,7632,152,13.87315789473684,0.019916142557651992,0.16666666666666666,7.436041769414622,1054.36
2025-07-04,C026,referral,23,1,1482.99,4608.75,12497,234,19.69551282051282,0.018724493878530847,0.043478260869565216,0.3217770545158666,4608.75
2025-07-04,C027,referral,10,0,0.0,3130.66,13323,111,28.20414414414414,0.008331456879081288,0.0,0.0,0.0
2025-07-04,C028,referral,12,1,5045.85,4889.2,8192,151,32.378807947019865,0.0184326171875,0.08333333333333333,1.0320400065450381,4889.2
2025-07-04,C029,referral,30,1,8541.94,5003.78,19776,454,11.021541850220263,0.022957119741100325,0.03333333333333333,1.7070974343396395,5003.78
2025-07-04,C030,referral,37,1,6871.36,4174.81,15996,439,9.50981776765376,0.027444361090272568,0.02702702702702703,1.645909634210898,4174.81
2025-07-04,C031,referral,54,0,0.0,3150.68,23310,465,6.775655913978494,0.019948519948519948,0.0,0.0,0.0
2025-07-04,C032,referral,23,0,0.0,5144.19,13967,299,17.204648829431438,0.0214076036371447,0.0,0.0,0.0
2025-07-04,C033,organic,112,1,2844.47,820.72,98803,1262,0.6503328050713154,0.012772891511391354,0.008928571428571428,3.4658226922702013,820.72
2025-07-04,C034,organic,94,2,10898.61,627.72,102417,1004,0.6252191235059761,0.009803060038860736,0.02127659574468085,17.362215637545404,313.86
