date,day_idx,promo_flag,campaign_id,channel,spend,impressions,clicks
2025-07-04,0,1,C001,search,26312.21,100619,2173
2025-07-04,0,1,C002,search,21647.84,87070,3103
2025-07-04,0,1,C003,search,22354.06,92590,1931
2025-07-04,0,1,C004,search,26270.94,112017,3485
2025-07-04,0,1,C005,search,22875.24,88620,2460
2025-07-04,0,1,C006,search,27508.7,129011,2721
2025-07-04,0,1,C007,search,21624.88,98425,3779
2025-07-04,0,1,C008,search,19663.84,75399,2210
2025-07-04,0,1,C009,paid_social,22482.26,101822,1725
2025-07-04,0,1,C010,paid_social,25994.98,156358,2858
2025-07-04,0,1,C011,paid_social,22820.7,128630,2162
2025-07-04,0,1,C012,paid_social,23728.79,121898,1271
2025-07-04,0,1,C013,paid_social,15889.01,92102,1970
2025-07-04,0,1,C014,paid_social,16972.71,84148,1256
2025-07-04,0,1,C015,paid_social,19634.72,116525,2920
2025-07-04,0,1,C016,paid_social,10409.44,54750,1039
2025-07-04,0,1,C017,email,2955.66,66466,308
2025-07-04,0,1,C018,email,1252.44,64966,1158
2025-07-04,0,1,C019,email,2521.59,65708,537
2025-07-04,0,1,C020,email,2449.63,71641,1060
2025-07-04,0,1,C021,email,2999.39,34106,115
2025-07-04,0,1,C022,email,1676.67,36910,347
2025-07-04,0,1,C023,email,3151.43,63606,869
2025-07-04,0,1,C024,email,2559.51,21483,90
2025-07-04,0,1,C025,referral,2108.72,7632,152
2025-07-04,0,1,C026,referral,4608.75,12497,234
2025-07-04,0,1,C027,referral,3130.66,13323,111
2025-07-04,0,1,C028,referral,4889.2,8192,151
2025-07-04,0,1,C029,referral,5003.78,19776,454
2025-07-04,0,1,C030,referral,4174.81,15996,439
2025-07-04,0,1,C031,referral,3150.68,23310,465
2025-07-04,0,1,C032,referral,5144.19,13967,299
2025-07-04,0,1,C033,organic,820.72,98803,1262
2025-07-04,0,1,C034,organic,627.72,102417,1004
2025-07-04,0,1,C035,organic,648.87,90204,1131
2025-07-04,0,1,C036,organic,531.37,91096,1380
2025-07-04,0,1,C037,organic,466.43,38100,465
2025-07-04,0,1,C038,organic,702.12,54089,430
2025-07-04,0,1,C039,organic,800.12,45782,491
2025-07-04,0,1,C040,organic,783.16,100245,1109
2025-07-05,1,0,C001,search,18725.66,82930,3729
2025-07-05,1,0,C002,search,14823.18,67464,1857
2025-07-05,1,0,C003,search,19366.86,76012,2179
2025-07-05,1,0,C004,search,22628.28,109849,4037
2025-07-05,1,0,C005,search,20232.31,96005,2277
2025-07-05,1,0,C006,search,21437.63,93147,2628
2025-07-05,1,0,C007,search,18800.39,85473,2082
2025-07-05,1,0,C008,search,23661.83,113368,2794
2025-07-05,1,0,C009,paid_social,11001.04,66488,1452
2025-07-05,1,0,C010,paid_social,20528.62,101291,1933
2025-07-05,1,0,C011,paid_social,12903.88,64711,1001
2025-07-05,1,0,C012,paid_social,18626.29,104961,1596
2025-07-05,1,0,C013,paid_social,14814.06,72445,1097
2025-07-05,1,0,C014,paid_social,19539.6,107916,1359
2025-07-05,1,0,C015,paid_social,19983.99,107239,1276
2025-07-05,1,0,C016,paid_social,12750.49,73319,1368
2025-07-05,1,0,C017,email,1544.0,24946,235
2025-07-05,1,0,C018,email,2302.8,48053,683
2025-07-05,1,0,C019,email,2871.52,58222,830
2025-07-05,1,0,C020,email,2582.6,53218,569
2025-07-05,1,0,C021,email,2756.24,36215,28
2025-07-05,1,0,C022,email,1916.77,18934,326
2025-07-05,1,0,C023,email,2412.33,34976,363
2025-07-05,1,0,C024,email,1965.89,39866,603
2025-07-05,1,0,C025,referral,6063.21,6289,117
2025-07-05,1,0,C026,referral,3536.8,12170,231
2025-07-05,1,0,C027,referral,4352.49,11398,181
2025-07-05,1,0,C028,referral,2501.24,11001,158
2025-07-05,1,0,C029,referral,5047.63,19928,247
2025-07-05,1,0,C030,referral,2920.51,18510,216
2025-07-05,1,0,C031,referral,3832.01,19824,449
2025-07-05,1,0,C032,referral,4275.56,12949,258
2025-07-05,1,0,C033,organic,550.98,90899,929
2025-07-05,1,0,C034,organic,549.66,46795,252
2025-07-05,1,0,C035,Organic,400.76,109745,1306
2025-07-05,1,0,C036,organic,388.1,69363,1125
2025-07-05,1,0,C037,organic,445.3,108205,881
2025-07-05,1,0,C038,organic,441.32,89650,1840
2025-07-05,1,0,C039,organic,732.49,113209,860
2025-07-05,1,0,C040,organic,502.15,63368,744
2025-07-06,2,0,C001,search,24021.39,91426,1593
2025-07-06,2,0,C002,search,17216.24,79582,1770
2025-07-06,2,0,C003,search,23008.55,91232,1776
2025-07-06,2,0,C004,search,13195.37,55685,2068
2025-07-06,2,0,C005,search,19746.77,73290,1013
2025-07-06,2,0,C006,search,16205.35,62423,1015
2025-07-06,2,0,C007,search,28190.69,133808,3818
2025-07-06,2,0,C008,search,22810.44,103043,2073
2025-07-06,2,0,C009,paid_social,16625.89,99341,1203
2025-07-06,2,0,C010,paid_social,12010.76,72627,1227
2025-07-06,2,0,C011,paid_social,20691.43,100356,1790
2025-07-06,2,0,C012,paid_social,16426.37,94733,1150
2025-07-06,2,0,C013,paid_social,13151.93,67105,1390
2025-07-06,2,0,C014,paid_social,20649.5,99716,1848
2025-07-06,2,0,C015,paid_social,13151.49,72720,921
2025-07-06,2,0,C016,paid_social,13489.11,79605,908
2025-07-06,2,0,C017,email,1472.12,48104,805
2025-07-06,2,0,C018,email,2492.01,59344,877
2025-07-06,2,0,C019,email,3050.86,37885,559
2025-07-06,2,0,C020,email,2857.14,30651,531
2025-07-06,2,0,C021,email,1350.11,18890,263
2025-07-06,2,0,C022,email,2459.58,59619,727
2025-07-06,2,0,C023,email,1544.24,33288,468
2025-07-06,2,0,C024,email,2482.46,49751,595
2025-07-06,2,0,C025,referral,4511.86,19966,204
2025-07-06,2,0,C026,referral,3137.7,7916,143
2025-07-06,2,0,C027,referral,3516.9,23870,341
2025-07-06,2,0,C028,referral,3515.22,5250,103
2025-07-06,2,0,C029,referral,2955.93,15684,300
2025-07-06,2,0,C030,referral,3976.51,23671,536
2025-07-06,2,0,C031,referral,3956.52,11852,291
2025-07-06,2,0,C032,referral,3674.31,17073,396
2025-07-06,2,0,C033,organic,520.44,86611,561
2025-07-06,2,0,C034,organic,492.31,102988,1021
2025-07-06,2,0,C035,organic,745.68,137073,1322
2025-07-06,2,0,C036,organic,490.84,54153,336
2025-07-06,2,0,C037,organic,691.93,41504,308
2025-07-06,2,0,C038,organic,549.71,65185,1181
2025-07-06,2,0,C039,organic,521.75,121144,1270
2025-07-06,2,0,C040,organic,552.55,38700,518
2025-07-07,3,0,C001,search,25853.81,124590,4526
2025-07-07,3,0,C002,search,16420.04,65484,2127
2025-07-07,3,0,C003,search,11032.09,42654,1155
2025-07-07,3,0,C004,search,21044.14,90484,2407
2025-07-07,3,0,C005,search,12151.73,59031,1449
2025-07-07,3,0,C006,search,11331.87,52651,1949
2025-07-07,3,0,C007,search,15230.14,73078,1594
2025-07-07,3,0,C008,search,29033.45,135158,3276
2025-07-07,3,0,C009,paid_social,20617.34,120758,2849
2025-07-07,3,0,C010,paid_social,12858.96,69930,1219
2025-07-07,3,0,C011,paid_social,8894.0,44687,917
2025-07-07,3,0,C012,paid_social,22604.25,106248,2270
2025-07-07,3,0,C013,paid_social,11726.53,65299,1849
2025-07-07,3,0,C014,paid_social,11188.96,52902,1209
2025-07-07,3,0,C015,paid_social,14498.63,85684,1527
2025-07-07,3,0,C016,paid_social,15534.61,85204,2247
2025-07-07,3,0,C017,email,2078.71,46293,887
2025-07-07,3,0,C018,email,2477.32,19085,173
2025-07-07,3,0,C019,email,2289.83,56904,624
2025-07-07,3,0,C020,email,1451.86,24684,380
2025-07-07,3,0,C021,email,1465.87,18373,94
2025-07-07,3,0,C022,email,2774.49,51818,548
2025-07-07,3,0,C023,email,1995.98,21063,148
2025-07-07,3,0,C024,email,1576.14,50253,906
2025-07-07,3,0,C025,referral,3642.2,21729,613
2025-07-07,3,0,C026,referral,4399.55,13853,321
